,precision,recall,f1-score,support
HTJ,0.6892430278884463,0.865,0.7671840354767184,200.0
anti-CRISPR,0.725,0.5918367346938775,0.651685393258427,49.0
baseplate,0.6183574879227053,0.64,0.628992628992629,200.0
collar,0.8333333333333334,0.5487804878048781,0.6617647058823529,82.0
decoration,0.6,0.17647058823529413,0.2727272727272727,17.0
depolymerase,0.3333333333333333,0.10526315789473684,0.16,19.0
major_capsid,0.7677725118483413,0.81,0.7883211678832117,200.0
major_tail,0.6555555555555556,0.6082474226804123,0.6310160427807486,97.0
minor_capsid,0.7945205479452054,0.6105263157894737,0.6904761904761905,95.0
minor_tail,0.6206896551724138,0.63,0.6253101736972705,200.0
portal,0.7681818181818182,0.845,0.8047619047619048,200.0
receptor_binding,0.3333333333333333,0.058823529411764705,0.1,17.0
tail_fiber,0.6042780748663101,0.565,0.5839793281653747,200.0
tail_sheath,0.8186528497409327,0.8494623655913979,0.8337730870712401,186.0
tail_terminator,0.75,0.5769230769230769,0.6521739130434783,26.0
tail_tube,0.6853448275862069,0.795,0.7361111111111112,200.0
tailspike,0.896551724137931,0.8863636363636364,0.8914285714285715,88.0
tape_measure,0.914572864321608,0.91,0.9122807017543859,200.0
whiskers,0.0,0.0,0.0,5.0
accuracy,0.7277509864094696,0.7277509864094696,0.7277509864094696,0.7277509864094696
macro avg,0.6530905760614459,0.5827735429151868,0.5995782225532046,2281.0
weighted avg,0.723139285230398,0.7277509864094696,0.7199691751959522,2281.0
