,precision,recall,f1-score,support
HTJ,0.9346733668341709,0.93,0.9323308270676691,200.0
anti-CRISPR,0.7166666666666667,0.8775510204081632,0.7889908256880734,49.0
baseplate,0.8840579710144928,0.915,0.8992628992628993,200.0
collar,0.8235294117647058,0.6829268292682927,0.7466666666666667,82.0
decoration,0.5454545454545454,0.35294117647058826,0.42857142857142855,17.0
depolymerase,0.3333333333333333,0.2631578947368421,0.29411764705882354,19.0
major_capsid,0.9432989690721649,0.915,0.9289340101522843,200.0
major_tail,0.7596153846153846,0.8144329896907216,0.7860696517412935,97.0
minor_capsid,0.8809523809523809,0.7789473684210526,0.8268156424581006,95.0
minor_tail,0.7806122448979592,0.765,0.7727272727272727,200.0
portal,0.9393939393939394,0.93,0.9346733668341709,200.0
receptor_binding,0.6,0.5294117647058824,0.5625,17.0
tail_fiber,0.6858407079646017,0.775,0.7276995305164319,200.0
tail_sheath,0.9679144385026738,0.9731182795698925,0.9705093833780161,186.0
tail_terminator,0.7333333333333333,0.8461538461538461,0.7857142857142857,26.0
tail_tube,0.9010416666666666,0.865,0.8826530612244898,200.0
tailspike,0.8444444444444444,0.8636363636363636,0.8539325842696629,88.0
tape_measure,0.935,0.935,0.935,200.0
whiskers,1.0,1.0,1.0,5.0
accuracy,0.8601490574309514,0.8601490574309514,0.8601490574309514,0.8601490574309514
macro avg,0.8004822528900771,0.7901198701611393,0.7924825833332404,2281.0
weighted avg,0.8614725752054695,0.8601490574309514,0.8596516820110897,2281.0
