,precision,recall,f1-score,support
HTJ,0.9540816326530612,0.935,0.9444444444444444,200.0
anti-CRISPR,0.6774193548387096,0.8571428571428571,0.7567567567567568,49.0
baseplate,0.8483412322274881,0.895,0.8710462287104623,200.0
collar,0.8493150684931506,0.7560975609756098,0.8,82.0
decoration,0.5454545454545454,0.35294117647058826,0.42857142857142855,17.0
depolymerase,0.46153846153846156,0.3157894736842105,0.375,19.0
major_capsid,0.9629629629629629,0.91,0.9357326478149101,200.0
major_tail,0.7894736842105263,0.7731958762886598,0.78125,97.0
minor_capsid,0.922077922077922,0.7473684210526316,0.8255813953488372,95.0
minor_tail,0.784688995215311,0.82,0.8019559902200489,200.0
portal,0.9261083743842364,0.94,0.9330024813895782,200.0
receptor_binding,0.6666666666666666,0.35294117647058826,0.46153846153846156,17.0
tail_fiber,0.6933333333333334,0.78,0.7341176470588235,200.0
tail_sheath,0.9728260869565217,0.9623655913978495,0.9675675675675676,186.0
tail_terminator,0.7586206896551724,0.8461538461538461,0.8,26.0
tail_tube,0.8781725888324873,0.865,0.871536523929471,200.0
tailspike,0.9080459770114943,0.8977272727272727,0.9028571428571428,88.0
tape_measure,0.9178743961352657,0.95,0.9336609336609336,200.0
whiskers,1.0,0.8,0.8888888888888888,5.0
accuracy,0.864094695309075,0.864094695309075,0.864094695309075,0.864094695309075
macro avg,0.8166843143498588,0.7766696448612692,0.7901846599346186,2281.0
weighted avg,0.8658831935885306,0.864094695309075,0.8631794177116456,2281.0
